1 Bitcoin	$318,478,163,312	$19,012.70	$14,604,800,000	16,750,812 BTC	1.11%	
2	Ethereum	$78,817,130,716	$817.37	$3,462,390,000	96,428,198 ETH	15.10%
3	Bitcoin Cash	$36,959,764,603	$2,191.71	$2,542,480,000	16,863,438 BCH	19.85%
4	Ripple	$31,713,064,885	$0.818631	$1,388,420,000	38,739,144,847 XRP *	14.85%
5	Litecoin	$19,560,213,423	$359.75	$2,058,980,000	54,371,533 LTC	15.46%
6	Cardano	$14,919,110,491	$0.575426	$313,541,000	25,927,070,538 ADA *	19.72%
7	IOTA	$11,761,776,960	$4.23	$440,982,000	2,779,530,283 MIOTA *	11.64%
8	Dash	$9,408,174,561	$1,212.14	$289,178,000	7,761,624 DASH	12.01%
9	NEM	$8,534,951,999	$0.948328	$162,119,000	8,999,999,999 XEM *	33.01%
10	Monero	$5,949,323,259	$383.93	$226,948,000	15,495,854 XMR	11.84%
11	Bitcoin Gold	$5,543,083,987	$331.64	$333,298,000	16,714,311 BTG	14.46%
12	EOS	$5,348,704,979	$9.75	$353,309,000	548,778,746 EOS *	20.49%
13	NEO	$5,244,395,000	$80.68	$443,168,000	65,000,000 NEO *	19.40%
14	Qtum	$5,217,112,684	$70.75	$3,689,440,000	73,743,444 QTUM *	141.13%
15	Stellar	$5,206,889,647	$0.291656	$215,355,000	17,852,845,979 XLM *	9.12%
16	Ethereum Classic	$4,152,875,007	$42.17	$1,238,940,000	98,474,232 ETC	25.71%
17	TRON	$3,213,515,230	$0.048876	$394,872,000	65,748,192,476 TRX *	35.68%
18	Lisk	$2,165,775,505	$18.66	$157,484,000	116,081,936 LSK *	34.44%
19	OmiseGO	$2,050,269,563	$20.09	$229,438,000	102,042,552 OMG *	29.53%
20	BitConnect	$2,032,314,314	$423.36	$27,233,700	4,800,497 BCC	1.14%
21	Populous	$1,999,430,360	$48.47	$3,797,240	41,252,246 PPT *	13.96%
22	Zcash	$1,692,087,506	$590.43	$333,335,000	2,865,856 ZEC	12.50%
23	Waves	$1,637,280,000	$16.37	$109,950,000	100,000,000 WAVES *	20.75%
24	Hshare	$1,468,438,735	$34.64	$202,062,000	42,388,482 HSR	70.02%
25	Stratis	$1,304,732,695	$13.22	$142,358,000	98,666,235 STRAT *	12.70%
26	Ardor	$1,215,522,646	$1.22	$22,595,500	998,999,495 ARDR *	18.43%
27	BitShares	$1,132,700,240	$0.434756	$52,645,500	2,605,370,000 BTS *	11.39%
28	Tether	$1,123,952,214	$1.00	$2,496,140,000	1,119,017,348 USDT *	-0.37%
29	Nxt	$1,026,742,170	$1.03	$328,847,000	998,999,942 NXT *	21.73%
30	Bytecoin	$938,952,628	$0.005124	$12,565,700	183,253,534,612 BCN	15.83%
31	Verge	$895,471,504	$0.062158	$162,907,000	14,406,375,752 XVG	17.40%
32	MonaCoin	$864,134,322	$15.40	$24,154,400	56,108,975 MONA	12.40%
33	Steem	$815,202,785	$3.31	$13,732,300	246,232,012 STEEM *	38.19%
34	Dogecoin	$718,451,051	$0.006392	$42,274,100	112,398,474,878 DOGE	7.55%
35	Ark	$690,368,289	$7.05	$17,545,700	97,981,284 ARK *	19.40%
36	Status	$687,527,132	$0.198107	$36,450,800	3,470,483,788 SNT *	15.20%
37	Komodo	$651,008,893	$6.27	$19,168,600	103,771,078 KMD	32.31%
